name,price,description,imageUrl,category
Na dai,45000,Na dai Ninh Thuận ngọt,picture/na-dai.jpg,Trái cây
Cà rốt,16000,Cà rốt Đà Lạt giòn ngọt,picture/ca-rot.jpg,Rau củ
Cam Úc,75000,Cam Úc nhập khẩu tươi,picture/cam-uc.jpg,Trái cây
Rau xà lách,22000,Rau xà lách xoăn Đà Lạt,picture/rau-xa-lach.jpg,Rau lá
Ổi ta,18000,Ổi ta xanh giòn ngọt,picture/oi-ta.jpg,Trái cây
Ngô ngọt,25000,Ngô ngọt Đà Lạt tươi,picture/ngo-ngot.jpg,Rau củ
Dâu tây,120000,Dâu tây Đà Lạt đỏ chín,picture/dau-tay.jpg,Trái cây
Hẹ lá,12000,Hẹ lá thơm xanh,picture/he-la.jpg,Rau lá
Dừa xiêm,15000,Dừa xiêm xanh ngọt mát,picture/dua-xiem.jpg,Trái cây
Giá đỗ,8000,Giá đỗ xanh tươi giòn,picture/gia-do.jpg,Rau lá
Chôm chôm pink,35000,Chôm chôm pink ngọt thơm,picture/chom-chom-pink.jpg,Trái cây
Củ cải trắng,12000,Củ cải trắng Đà Lạt,picture/cu-cai-trang.jpg,Rau củ
Kiwi xanh,85000,Kiwi xanh New Zealand,picture/kiwi-xanh.jpg,Trái cây
Bầu dài,18000,Bầu dài xanh non,picture/bau-dai.jpg,Rau củ
Mãng cầu,50000,Mãng cầu na ngọt bùi,picture/mang-cau.jpg,Trái cây
Cải ngọt,16000,Cải ngọt Đà Lạt tươi,picture/cai-ngot.jpg,Rau lá
Táo ta,35000,Táo ta Sapa chua ngọt,picture/tao-ta.jpg,Trái cây
Khổ qua,22000,Khổ qua xanh đắng mát,picture/kho-qua.jpg,Rau củ
Dưa lưới,45000,Dưa lưới Nhật ngọt thơm,picture/dua-luoi.jpg,Trái cây
Tía tô,15000,Tía tô thơm tím,picture/tia-to.jpg,Rau lá
Chùm ruột,30000,Chùm ruột chua ngọt,picture/chum-ruot.jpg,Trái cây
Gạo tám xoan,28000,Gạo tám xoan An Giang thơm dẻo,picture/gao-tam-xoan.jpg,Lúa gạo
Cà chua cherry,20000,Cà chua cherry đỏ tươi Đà Lạt,picture/ca-chua-cherry.jpg,Rau củ
Lựu đỏ,65000,Lựu đỏ hạt ngọt Iran,picture/luu-do.jpg,Trái cây
Đậu phộng,35000,Đậu phộng rang muối,picture/dau-phong.jpg,Đậu hạt
Húng quế,18000,Húng quế thơm tươi,picture/hung-que.jpg,Rau lá
Bưởi năm roi,40000,Bưởi năm roi Vĩnh Long ngọt,picture/buoi-nam-roi.jpg,Trái cây
Cà pháo,25000,Cà pháo tím Đà Lạt,picture/ca-phao.jpg,Rau củ
Chanh tươi,15000,Chanh tươi không hạt,picture/chanh-tuoi.jpg,Trái cây
Đỗ xanh,30000,Đỗ xanh hạt tươi,picture/do-xanh.jpg,Đậu hạt
Măng tây,45000,Măng tây xanh Đà Lạt,picture/mang-tay.jpg,Rau lá
Dâu tằm đen,150000,Dâu đen tươi organic,picture/dau-tam-den.jpg,Trái cây
Gạo lứt đỏ,35000,Gạo lứt đỏ bổ dưỡng,picture/gao-lut-do.jpg,Lúa gạo
Cải bó xôi,14000,Cải bó xôi baby tươi,picture/cai-bo-xoi.jpg,Rau lá
Đu đủ chín,22000,Đu đủ chín vàng ngọt,picture/dau-den.jpg,Trái cây
Đậu đen,32000,Đậu đen hạt khô,picture/dau-den.jpg,Đậu hạt
Kinh giới,20000,Kinh giới thơm mát,picture/kinh-gioi.jpg,Rau lá
Chôm chôm đỏ,32000,Chôm chôm đỏ ngọt thơm,picture/chom-chom-do.jpg,Trái cây
Cải cúc,16000,Cải cúc Nhật tươi mát,picture/cai-cuc.jpg,Rau lá
Bơ booth,85000,Bơ booth Đắk Lắk béo ngậy,picture/bo-booth.jpg,Trái cây
Lúa mì,25000,Lúa mì hạt nguyên chất,picture/lua-mi.jpg,Lúa gạo
Ngò gai,12000,Ngò gai thơm đặc biệt,picture/ngo-gai.jpg,Rau lá
Cam canh,35000,Cam canh Hà Giang chua ngọt,picture/cam-canh.jpg,Trái cây
Yến mạch,40000,Yến mạch hạt nguyên chất,picture/yen-mach.jpg,Ngũ cốc
Rau ram,14000,Rau ram thơm cay,picture/rau-ram.jpg,Rau lá
Khoai môn,20000,Khoai môn Bến Tre bùi thơm,picture/khoai-mon.jpg,Rau củ
Mít Thái siêu ngọt,38000,Mít Thái siêu ngọt không hạt,picture/mit-thai-sieu-ngot.jpg,Trái cây
Đậu tương,28000,Đậu tương vàng hạt khô,picture/dau-tuong.jpg,Đậu hạt
Lá lốt,25000,Lá lốt tươi thơm,picture/la-lot.jpg,Rau lá
Nho tím,90000,Nho tím Phan Rang ngọt đậm,picture/nho-tim.jpg,Trái cây
Cà chua beef,30000,Cà chua beef to đỏ Đà Lạt,picture/ca-chua-beef.jpg,Rau củ
